,symbol,open,high,low,volume,close
34,AMP,1.0,1.0094891382191453,0.9943900692289329,485257,0
35,ABC,1.0,1.0233924154987633,1.0,742851,1
36,AME,1.0,1.0140357443623094,0.9900814073173013,789060,1
37,AMGN,1.004890690966852,1.0077787021630615,0.9866888519134774,2694112,0
38,APH,1.0,1.0077349037531864,0.9910784916937682,1082284,0
39,ADI,1.0076565936303656,1.0038800420337888,0.9901382264974538,1494931,0
40,ANSS,1.0,1.003445062547652,0.9789907661028436,341796,0
41,ANTM,0.9924705882352941,1.0097202465623518,0.9808643229695863,1027949,0
42,AON,1.0,1.0139979192282227,0.9886503357609003,1186943,0
43,APA,1.0197802197802197,1.072198275862069,0.990301724137931,16333599,0
44,AAPL,0.995475113122172,1.0167768595041322,0.9885950413223141,151057198,1
45,AMAT,0.9986151715648564,1.0043143297380586,0.9773497688751925,5824029,0
46,APTV,1.0,1.005051025667457,0.9857746624059375,1222637,0
47,ADM,0.9852307692307692,1.0231105559025608,0.9962523422860712,4707308,1
48,ANET,1.00929203539823,1.022709338009645,0.9916703200350723,615174,0
49,AJG,1.0,1.0088089557717013,0.9892640851532392,901792,0
50,AIZ,1.0,1.0219330550781571,1.0,335942,1
51,T,0.9960460100647017,1.0086611331649225,0.991699747383616,49203669,0
52,ATO,1.0,1.0076584137641629,0.9912924884599245,689627,0
53,ADSK,1.0,1.0156351263771874,0.9904812054439404,1414684,0
54,ADP,1.0,1.0064004266951128,0.9870058003866924,2246317,0
55,AZO,1.0059893716301296,1.0035260576076477,0.9755356169552639,195757,0
56,AVB,1.0,1.0067838221992507,0.9923762760046517,844919,0
57,AVY,1.0,1.0176211453744493,1.0,348703,1
58,BKR,1.000777604976672,1.0598290598290598,0.9953379953379954,8861009,1
59,BLL,1.0067777777777778,1.0034212559320164,0.9927160357576427,1036543,0
60,BAC,0.9716679968076617,1.0098562628336756,0.968788501026694,128348985,0
61,BAX,1.0,1.012699203187251,0.9960159362549802,1689189,0
62,BDX,1.0,1.0087845257200778,0.984479263451305,932959,0
63,BRK.B,0.9986340728180492,1.0015564569380246,0.9930195264597679,5127780,0
64,BBY,1.0022754087308277,1.0081560581854871,0.987051206592113,1660876,0
65,BIO,1.0,1.006057609098776,0.9749395122123518,129724,0
66,BIIB,1.0,1.0,0.9761425304617904,977377,0
67,BLK,1.003172866520788,1.0025396132932396,0.9878784101709174,708091,0
68,BA,0.9998770894788593,1.0151813153042408,0.9987092808850646,10621917,1
69,BKNG,1.0,1.0043681099933834,0.9705615180163509,316886,0
70,BWA,1.0025458248472505,1.005332656170645,0.9786693753174199,2541712,0
71,BXP,1.0,1.00802407221665,0.9921013039117351,1022548,0
72,BSX,0.9948755490483164,1.0033112582781456,0.985896492519009,12627857,0
73,BMY,0.9970631424375918,1.0085092456226477,0.9936344297169039,8952551,0
74,AVGO,1.0001043024771838,1.0005084215466444,0.9851645199979142,1730153,0
75,BR,1.0,1.0049985919459308,0.995916643199099,310907,0
76,BF.B,1.0,1.0110724861593923,0.9936912578859277,612064,0
77,CHRW,1.0,1.0037093399277155,0.990964428381206,978009,0
78,COG,0.9979166666666667,1.0088726513569937,0.990866388308977,4106706,1
79,CDNS,1.0,1.0104273504273504,0.9897435897435897,1639885,0
80,CPB,1.0,1.0078803798747222,0.9931299252374216,967423,0
81,COF,1.0,1.0066507717404944,0.9858200527042289,1600541,0
82,CAH,1.0,1.01875,0.9943749999999999,1252761,1
83,KMX,1.0014957264957265,1.0019202048218476,0.9740238958822276,1975120,0
84,CCL,1.0155846917080085,1.0069853941758142,0.9706976322235326,34826747,0
85,CARR,0.9963414634146343,1.0113219094247246,0.9923500611995104,3485124,0
86,CTLT,1.0,1.0027915306014956,0.9650268618982407,1017559,0
87,CAT,1.0041980491418694,1.0132872248862659,0.9990163531292267,4132872,1
88,CBOE,1.0,1.0056892260282089,0.9935996207182647,1236540,1
